,Prov.Id,Prov.State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 074,DRG Charges 101,DRG Charges 149,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 203,DRG Charges 207,DRG Charges 208,DRG Charges 238,DRG Charges 243,DRG Charges 244,DRG Charges 246,DRG Charges 247,DRG Charges 249,DRG Charges 251,DRG Charges 252,DRG Charges 253,DRG Charges 254,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 300,DRG Charges 301,DRG Charges 303,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 379,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 394,DRG Charges 418,DRG Charges 419,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 491,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 684,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 885,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948
0,10001,AL,32963.07,20312.78,38820.39,27345.1,17605.51,20688.83,18489.15,19619.7,,23680.3,48240.09,31341.59,28807.61,26582.76,23894.34,15609.81,31350.52,21096.94,12034.15,21906.24,,107347.52,53051.04,54708.17,56938.7,46950.14,84912.15,61844.96,55815.12,46396.17,86504.43,64586.71,45614.84,40237.34,28963.8,27298.33,45796.56,30576.78,34347.91,23352.07,14707.02,21299.34,10889.05,18901.63,,25886.55,19155.11,13072.69,18743.37,19540.55,35343.27,26014.66,108112.28,60062.12,27708.41,41152.84,22625.72,,22502.66,18370.04,30981.0,20609.24,28654.06,42380.07,26190.13,,79955.22,65490.85,43444.03,38770.44,45026.66,35220.98,,26738.52,,23609.25,,32120.3,20552.08,21175.81,25581.0,19490.6,35164.42,19925.46,18211.06,32679.22,20601.17,28252.76,17647.47,32165.86,19670.22,73419.78,129694.04,44643.01,25434.18,17627.12,12254.78,53962.0,16583.15,19081.72
1,10005,AL,15131.85,,22946.38,16930.43,17170.27,14260.0,,,,,23464.22,16967.0,19396.71,16319.81,12395.69,9892.56,19380.96,14732.0,10862.82,,,,45063.52,,,,,46095.22,,,,38748.45,25858.36,,,,,23755.73,23327.57,14110.51,10107.37,8175.56,,8309.84,,13262.93,13036.88,,11926.96,,,10562.27,,,,,10613.83,,8466.17,7359.25,,10594.07,11517.0,19605.13,,15285.27,,,31340.35,,,21420.32,,,,,,,11822.4,9719.16,,7784.95,13047.26,10819.55,,16579.33,11506.74,,,,11610.0,,,26056.59,14409.25,,,,4973.93,9381.09
2,10006,AL,37560.37,,45393.21,27320.14,16392.37,17091.66,,18362.2,,23228.42,48418.9,41442.48,26143.33,31315.1,23476.8,18648.83,37018.57,27976.01,17759.5,16750.0,18616.07,117772.91,56430.72,82020.29,64304.27,53347.26,84797.81,58569.53,54674.28,50850.53,80392.09,72561.69,56956.73,49635.9,30720.81,22594.11,45169.5,26789.68,32650.21,21302.34,14005.55,25328.9,11323.29,,,31553.83,16674.28,10547.41,17651.48,20241.84,35588.81,28862.27,115708.6,58105.58,,51199.1,21184.13,17413.41,25449.96,17519.5,41169.9,18220.04,16894.14,40141.31,,25451.83,71199.06,101388.37,48762.16,36935.52,49539.28,38069.41,,,,19366.55,15115.18,36261.9,17293.2,17021.54,22928.33,16051.01,42813.58,23512.85,,20931.9,15745.25,,,30195.62,19065.81,160186.05,,49858.93,21602.83,10376.13,10866.42,34537.27,14834.22,17894.59
3,10011,AL,13998.28,22074.08,24204.84,16743.5,19042.89,18208.0,24962.92,15468.45,,18820.05,63741.33,25045.47,33049.32,27379.08,20827.02,14231.54,33768.75,23711.17,17000.5,24296.58,12844.78,121698.53,48317.17,46120.96,57962.35,47738.86,60234.93,46296.46,48754.63,38131.35,44442.71,52281.18,52892.75,47468.55,24455.35,17427.36,40385.22,18766.64,31104.07,18117.9,11856.1,16848.26,7881.37,11776.75,,24363.77,17324.21,11557.02,18317.05,13311.78,,,76467.29,30432.6,,47576.0,19612.02,13277.91,17293.42,11448.86,,14984.56,11004.93,26493.26,22091.5,27758.4,44224.07,73278.81,31092.75,23604.07,56918.71,30915.06,22673.63,12029.36,10524.64,17363.94,,,12357.16,15875.5,24594.07,12709.62,24545.89,19171.84,15049.16,28215.0,16804.77,17433.0,9976.81,,13303.33,,,41809.6,18996.52,11076.0,,,13982.84,12695.95
4,10016,AL,31633.27,,64537.85,32865.13,29767.41,22626.67,,24004.8,,31418.05,57383.04,47358.07,30720.51,36289.97,28158.81,18614.77,47292.57,32653.87,21053.57,20419.4,,,70794.91,92473.7,,65642.46,111867.11,80243.23,69717.69,,65965.09,57907.0,53030.1,44164.29,39002.8,,63499.35,37307.48,38418.41,28616.77,18962.61,26794.0,18955.07,21068.5,20969.68,50356.08,27599.96,14979.76,20330.41,21375.25,52267.54,27124.54,142560.71,71613.11,33125.29,42613.31,32471.6,23555.6,31211.45,20000.52,35758.46,23166.63,25631.65,50721.0,34197.31,,72088.62,,50754.3,31326.81,,47057.81,34373.18,24743.46,,25184.81,,,26019.55,19038.27,34376.94,19867.97,50727.91,25779.6,22089.0,37063.13,22794.43,,,31699.45,19840.12,,,66437.14,38877.69,,,59053.63,14105.11,22093.3
5,10023,AL,16920.79,21452.7,38000.68,28504.9,18203.61,17312.93,20371.85,16271.15,15280.28,31922.41,,,28077.87,30926.08,22044.54,19129.36,34970.42,24682.31,19777.37,15642.33,15203.56,117604.23,48669.44,58854.2,55280.28,49449.88,82225.3,53498.71,46764.7,42330.52,49828.0,46177.52,30926.75,40433.93,26389.89,25152.81,36850.17,25754.28,27824.12,20002.07,14617.68,23142.61,17792.61,13244.87,11238.73,30786.68,19728.22,10849.16,16908.49,12072.04,24506.41,23994.38,129017.22,56497.66,,41700.23,19092.76,13537.77,28526.17,11794.6,19151.37,17034.45,24999.72,,23279.33,18855.73,68579.74,50748.46,41603.11,28614.89,96497.28,38468.06,30748.81,24495.68,14272.72,20972.84,12743.71,,18866.91,15398.35,19261.41,15595.6,25952.14,25505.4,,24868.92,20549.54,24181.46,20239.69,,16429.14,118739.33,110826.26,50610.16,32664.94,,17288.35,41633.46,11902.5,16321.9
6,10029,AL,11977.13,10701.64,15519.5,13762.61,8675.4,7370.96,10775.52,9518.91,,12835.93,18398.12,13003.57,12863.96,12562.79,9220.64,8136.35,14931.12,10220.62,8029.03,8932.69,6930.17,65345.33,22254.71,38432.5,34117.8,28558.58,41985.66,29573.24,32961.18,25165.05,28369.12,32264.37,21799.18,19253.69,,11609.83,21572.75,16266.37,15864.97,10777.09,7256.28,9782.08,7966.25,5241.58,8562.69,14020.3,8801.91,6092.14,7672.37,6660.36,16815.97,7255.46,52880.72,25121.17,9112.07,14601.76,9590.02,,9763.26,6617.7,14102.65,8025.69,12760.77,21379.66,12509.75,9614.72,21212.27,30602.33,25974.62,22520.73,23062.46,17667.71,14541.71,9321.79,,9117.33,,,7975.71,6841.93,11207.14,7786.23,15362.16,8604.15,6052.18,11491.0,8475.38,14155.68,,10081.17,7334.6,51589.15,61137.53,17580.16,10338.25,9009.39,5622.64,18859.86,9588.43,7298.66
7,10033,AL,35841.09,35213.76,60849.27,37680.25,28430.27,26658.31,30822.97,15283.03,,17814.42,71961.0,51261.84,48649.0,29210.4,21674.31,15007.21,33152.65,23160.38,15011.53,21128.2,12438.42,188031.14,74599.3,87058.41,65453.85,57697.76,104912.72,65176.76,54038.68,70513.25,74636.07,71974.25,44869.35,59410.51,34636.11,30072.85,117293.63,41243.78,60845.16,22285.68,15459.66,23219.58,21222.87,12385.52,13379.87,28210.24,19007.2,13878.02,14680.34,15449.91,44650.97,38550.6,142991.34,72764.64,25766.53,42674.76,24662.31,14430.84,20285.51,16388.21,20170.98,20051.33,20623.36,,31067.66,26588.69,85098.24,72602.33,52962.59,52714.18,82164.52,65318.66,51169.47,28326.23,22892.64,26129.17,29579.84,18892.36,15487.01,19911.35,25077.21,17636.39,29711.63,22130.99,15161.5,26867.01,16997.34,43808.68,26774.7,27645.91,15246.34,185073.88,205492.84,55870.59,31162.96,23252.0,,52977.15,14658.82,16729.82
8,10039,AL,28523.39,26144.21,52699.69,31363.69,23593.17,23076.94,32565.82,22734.52,19069.25,27121.85,50401.81,33127.97,30398.82,27348.6,22798.49,17818.93,33523.99,26747.96,16081.72,22746.18,10409.0,145193.93,57319.69,105963.79,65814.35,59624.03,82102.36,57082.67,43171.26,39543.78,105081.45,87957.1,58527.58,42827.33,25307.28,23716.63,41480.59,26539.42,34623.75,23122.65,15866.79,23980.86,23817.03,19439.4,19585.35,27730.07,18696.25,13929.5,19559.38,21093.72,58824.82,24886.5,149896.22,66580.42,27464.43,43752.62,24540.07,14040.91,23247.11,15533.16,36872.81,21552.61,23719.03,47203.96,29531.38,18103.62,124519.79,79561.71,54777.21,54951.4,67629.71,50530.11,36411.44,28584.1,20876.76,26167.23,19678.8,35634.31,22472.34,22960.15,27937.5,17256.85,36530.2,23456.81,17680.08,26465.93,19439.94,40317.69,19718.2,32320.75,22131.65,135358.51,130488.42,49706.59,29732.9,,22833.53,32571.92,17990.48,25634.22
9,10040,AL,75233.38,32279.0,100144.94,64503.62,59397.41,47517.38,57705.42,45608.63,,,137230.78,90383.44,76301.51,50785.42,46608.03,41440.86,85304.51,56053.69,37044.35,49227.52,,236092.75,142236.96,,121300.9,99782.65,,137566.18,145513.66,,,89512.36,75103.46,,92559.41,49000.29,94135.21,66779.71,85369.89,50466.55,34753.09,50684.0,33882.58,,31010.93,80824.92,48783.48,28185.91,45055.2,39035.25,108547.94,,280695.8,135194.58,,82870.25,61488.29,49074.26,,,100906.58,49978.57,68785.83,92185.32,69747.34,,114737.67,176043.68,92280.17,77617.09,150979.61,87530.17,71634.41,56212.61,25168.71,38813.53,,66209.36,42199.97,47267.05,72863.15,44882.82,120300.24,71013.69,,58758.94,47271.73,,,59925.92,24499.39,307212.27,316272.56,127121.04,67095.26,39277.06,,,25300.37,
